configuration,echelle_a,echelle_b,n_paires,r_absolu_humain,r_absolu_agent,exces_moyen
gemini_flash25_texte,QID198_appariement_1,QID198_appariement_1,28,0.1772,0.1973,0.0201
gemini_flash25_texte,QID203_appariement_2,QID203_appariement_2,1,0.0907,1.0,0.9093
gemini_flash25_texte,QID287_soutien_politiques,QID198_appariement_1,80,0.0366,0.0134,-0.0232
gemini_flash25_texte,QID287_soutien_politiques,QID203_appariement_2,20,0.0397,0.0184,-0.0213
gemini_flash25_texte,QID287_soutien_politiques,QID287_soutien_politiques,45,0.4063,0.9118,0.5054
gemini_flash25_texte,QID287_soutien_politiques,QID288_benefice_percu,40,0.1007,0.2656,0.1649
gemini_flash25_texte,QID287_soutien_politiques,QID289_risque_percu,40,0.0745,0.1668,0.0923
gemini_flash25_texte,QID287_soutien_politiques,QID290_consensus_percu,100,0.1978,0.6116,0.4138
gemini_flash25_texte,QID287_soutien_politiques,QID9_intention_achat,400,0.0259,0.0228,-0.0032
gemini_flash25_texte,QID288_benefice_percu,QID198_appariement_1,32,0.0574,0.0275,-0.0299
gemini_flash25_texte,QID288_benefice_percu,QID203_appariement_2,8,0.0716,0.0219,-0.0497
gemini_flash25_texte,QID288_benefice_percu,QID288_benefice_percu,6,0.2108,0.2466,0.0358
gemini_flash25_texte,QID288_benefice_percu,QID289_risque_percu,16,0.1503,0.1699,0.0196
gemini_flash25_texte,QID288_benefice_percu,QID290_consensus_percu,40,0.04,0.1738,0.1338
gemini_flash25_texte,QID288_benefice_percu,QID9_intention_achat,160,0.0336,0.0237,-0.0099
gemini_flash25_texte,QID289_risque_percu,QID198_appariement_1,32,0.0354,0.0142,-0.0213
gemini_flash25_texte,QID289_risque_percu,QID203_appariement_2,8,0.0421,0.0232,-0.0189
gemini_flash25_texte,QID289_risque_percu,QID289_risque_percu,6,0.2529,0.2619,0.009
gemini_flash25_texte,QID289_risque_percu,QID290_consensus_percu,40,0.047,0.1081,0.0611
gemini_flash25_texte,QID289_risque_percu,QID9_intention_achat,160,0.0203,0.0213,0.0009
gemini_flash25_texte,QID290_consensus_percu,QID198_appariement_1,80,0.0337,0.0174,-0.0164
gemini_flash25_texte,QID290_consensus_percu,QID203_appariement_2,20,0.0419,0.0141,-0.0277
gemini_flash25_texte,QID290_consensus_percu,QID290_consensus_percu,45,0.3254,0.6435,0.3181
gemini_flash25_texte,QID290_consensus_percu,QID9_intention_achat,400,0.0384,0.0176,-0.0208
gemini_flash25_texte,QID9_intention_achat,QID198_appariement_1,320,0.0376,0.0233,-0.0143
gemini_flash25_texte,QID9_intention_achat,QID203_appariement_2,80,0.0349,0.031,-0.0039
gemini_flash25_texte,QID9_intention_achat,QID9_intention_achat,780,0.0986,0.0386,-0.06
gpt41_json,QID287_soutien_politiques,QID287_soutien_politiques,45,0.4063,0.7464,0.34
gpt41_json,QID287_soutien_politiques,QID288_benefice_percu,40,0.1007,0.1624,0.0617
gpt41_json,QID287_soutien_politiques,QID289_risque_percu,40,0.0745,0.1209,0.0464
gpt41_json,QID287_soutien_politiques,QID290_consensus_percu,100,0.1978,0.6822,0.4844
gpt41_json,QID287_soutien_politiques,QID9_intention_achat,400,0.0259,0.026,0.0001
gpt41_json,QID288_benefice_percu,QID288_benefice_percu,6,0.2108,0.3121,0.1012
gpt41_json,QID288_benefice_percu,QID289_risque_percu,16,0.1503,0.2289,0.0786
gpt41_json,QID288_benefice_percu,QID290_consensus_percu,40,0.04,0.2572,0.2172
gpt41_json,QID288_benefice_percu,QID9_intention_achat,160,0.0336,0.0409,0.0074
gpt41_json,QID289_risque_percu,QID289_risque_percu,6,0.2529,0.2278,-0.0251
gpt41_json,QID289_risque_percu,QID290_consensus_percu,40,0.047,0.1183,0.0713
gpt41_json,QID289_risque_percu,QID9_intention_achat,160,0.0203,0.0206,0.0002
gpt41_json,QID290_consensus_percu,QID290_consensus_percu,45,0.3254,0.7073,0.3819
gpt41_json,QID290_consensus_percu,QID9_intention_achat,400,0.0384,0.0381,-0.0003
