cle_modele,modele,camp,identite,item,tv_decrit_echantillon,tv_decrit_national,tv_echantillon_national,difference
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natspac/y,0.24376498800959237,0.16850298964349597,0.07526199836609641,0.0752619983660964
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natenvir/y,0.4061151079136691,0.3499524077287294,0.05616270018493978,0.05616270018493974
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natheal/y,0.4773381294964029,0.4023981283144766,0.07494000118192634,0.07494000118192634
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natcity/y,0.06091127098321346,0.14255888628635463,0.1445333224566489,-0.08164761530314117
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natdrug/y,0.22146282973621106,0.2734858337730164,0.07664235408917586,-0.05202300403680532
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,nateduc/y,0.45095923261390897,0.47569115818491525,0.024731925571006265,-0.024731925571006286
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natrace/y,0.15671462829736213,0.22173445590211485,0.06501982760475272,-0.06501982760475272
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natarms/y,0.3731414868105516,0.2725917126641128,0.12060551700562161,0.10054977414643879
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,nataid/y,0.30839328537170263,0.22502414555230382,0.091804428863839,0.08336913981939881
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natfare/y,0.4821342925659473,0.23433899952332546,0.24779529304262188,0.24779529304262185
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natroad,0.201558752997602,0.20294649088930705,0.013869467121430445,-0.0013877378917050431
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natsoc,0.35503597122302166,0.252495723633529,0.10254024758949264,0.10254024758949265
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natmass,0.16402877697841728,0.13810730955384737,0.07282927389718855,0.02592146742456991
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natpark,0.2567146282973622,0.19334938622383951,0.06409290616845723,0.06336524207352268
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natchld,0.25983213429256596,0.24305639397562506,0.026480652274231575,0.0167757403169409
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natsci,0.10839328537170263,0.06748747570802541,0.09626893385428023,0.040905809663677226
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,natenrgy,0.06642685851318945,0.06076436428351675,0.05809719300981649,0.0056624942296727016
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,uswary,0.30563549160671466,0.3369044849505032,0.03126899334378852,-0.03126899334378852
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,prayer,0.08810551558752999,0.1350849985093483,0.2231905140968783,-0.046979482921818305
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,courts,0.04712230215827337,0.2542741914156947,0.2071518892574213,-0.2071518892574213
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,fehire,0.2516786570743405,0.2646378238639897,0.1858735360091166,-0.012959166789649201
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,fechld,0.3327817745803358,0.38207664126704105,0.106117027399497,-0.04929486668670524
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,fepresch,0.19892086330935252,0.13296329804377188,0.09920871886034305,0.06595756526558064
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,fefam,0.3272182254196643,0.27527116672521396,0.0519470586944504,0.05194705869445032
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,fepol,0.06366906474820147,0.05451600741620129,0.009153057332000183,0.009153057332000183
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,incom16,0.18285371702637893,0.1309425095272593,0.06210267988245889,0.05191120749911962
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,evwork,0.270863309352518,0.205984080614347,0.064879228738171,0.06487922873817101
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,partfull,0.202158273381295,0.10000000000000002,0.30215827338129503,0.10215827338129498
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,wksub1,0.27410071942446046,0.17613487055010246,0.39927635736065403,0.097965848874358
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,wksup1,0.47973621103117503,0.3644426981795118,0.38129496402877705,0.11529351285166323
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,conarmy,0.10323741007194248,0.0871270055128424,0.06321056699133802,0.01611040455910008
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,conbus,0.34928057553956837,0.303163662021448,0.2057873595029867,0.04611691351812036
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,conclerg,0.4211031175059953,0.3180692077714804,0.2615412183185215,0.10303390973451487
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,coneduc,0.2591127098321343,0.21523433859439856,0.0829772231176014,0.04387837123773575
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,confed,0.2773381294964029,0.30182322048654153,0.1662086801086091,-0.024485090990138625
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,confinan,0.2869304556354916,0.3266023198595705,0.06620146329944532,-0.03967186422407892
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,conjudge,0.39004796163069544,0.20269206372845555,0.42242558412906583,0.1873558979022399
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,conlabor,0.20155875299760198,0.33060364662172215,0.18535808562668923,-0.12904489362412017
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,conlegis,0.4068345323741007,0.3920668684851365,0.07422626910609881,0.014767663888964222
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,conmedic,0.15443645083932855,0.12367623321000099,0.19358650700052993,0.03076021762932757
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,conpress,0.3013189448441247,0.27566947789181384,0.10059149015543124,0.02564946695231085
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,consci,0.3005995203836931,0.15732170744962168,0.21619171287069366,0.1432778129340714
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,contv,0.356474820143885,0.3466369353847754,0.08955869595510683,0.009837884759109572
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,joblose,0.515347721822542,0.4906105020941895,0.41966426858513195,0.024737219728352466
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,jobfind,0.4163069544364508,0.29514241198504565,0.3908872901678658,0.12116454245140518
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,happy,0.2965227817745804,0.1612595814778574,0.1496876948483127,0.135263200296723
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,hapmar,0.5950839328537171,0.14892551640504056,0.645083932853717,0.4461584164486765
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,satjob,0.3384892086330936,0.24929004619786985,0.40078249552481193,0.08919916243522377
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,spdeg*,0.557074340527578,0.2085100555603373,0.5779376498800961,0.3485642849672407
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,spfund,0.648201438848921,0.26483858836839463,0.748201438848921,0.3833628504805264
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,unemp,0.340431654676259,0.248870509724914,0.09156114495134501,0.09156114495134501
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,librac/y,0.3244604316546763,0.24629629300247624,0.07816413865220007,0.07816413865220007
q4,Qwen3-4B-Instruct-2507,gauche,journaliste,spkcom/y,0.017410071942446023,0.027220991938579964,0.04463106388102599,-0.00981091999613394
